model,behaviour,domain,language,pooling,layer,mean_cosine_distance,mean_cosine_similarity,n_pairs
Qwen2.5-1.5B,agreement_bias,education_general_knowledge,en,last_token,0,0.0,1.0,2
Qwen2.5-1.5B,agreement_bias,education_general_knowledge,en,last_token,1,0.0073161193829359705,0.992683880617064,2
Qwen2.5-1.5B,agreement_bias,education_general_knowledge,en,last_token,2,0.01409160320072228,0.9859083967992777,2
Qwen2.5-1.5B,agreement_bias,education_general_knowledge,en,last_token,3,0.014799669439905794,0.9852003305600943,2
Qwen2.5-1.5B,agreement_bias,education_general_knowledge,en,last_token,4,0.03175759056142824,0.9682424094385718,2
Qwen2.5-1.5B,agreement_bias,education_general_knowledge,en,last_token,5,0.03423647060543461,0.9657635293945654,2
Qwen2.5-1.5B,agreement_bias,education_general_knowledge,en,last_token,6,0.02433524049172392,0.9756647595082761,2
Qwen2.5-1.5B,agreement_bias,education_general_knowledge,en,last_token,7,0.024074434997491845,0.9759255650025082,2
Qwen2.5-1.5B,agreement_bias,education_general_knowledge,en,last_token,8,0.033386243911907754,0.9666137560880923,2
Qwen2.5-1.5B,agreement_bias,education_general_knowledge,en,last_token,9,0.04936712341311672,0.9506328765868832,2
Qwen2.5-1.5B,agreement_bias,education_general_knowledge,en,last_token,10,0.06385576023938866,0.9361442397606113,2
Qwen2.5-1.5B,agreement_bias,education_general_knowledge,en,last_token,11,0.06530415305558723,0.9346958469444128,2
Qwen2.5-1.5B,agreement_bias,education_general_knowledge,en,last_token,12,0.05992083955967431,0.9400791604403257,2
Qwen2.5-1.5B,agreement_bias,education_general_knowledge,en,last_token,13,0.055773642679304625,0.9442263573206954,2
Qwen2.5-1.5B,agreement_bias,education_general_knowledge,en,last_token,14,0.0885005903830019,0.9114994096169982,2
Qwen2.5-1.5B,agreement_bias,education_general_knowledge,en,last_token,15,0.07575933095037812,0.9242406690496219,2
Qwen2.5-1.5B,agreement_bias,education_general_knowledge,en,last_token,16,0.08728446865708767,0.9127155313429123,2
Qwen2.5-1.5B,agreement_bias,education_general_knowledge,en,last_token,17,0.1053894869604175,0.8946105130395825,2
Qwen2.5-1.5B,agreement_bias,education_general_knowledge,en,last_token,18,0.11043927225019434,0.8895607277498057,2
Qwen2.5-1.5B,agreement_bias,education_general_knowledge,en,last_token,19,0.11054579323987695,0.889454206760123,2
Qwen2.5-1.5B,agreement_bias,education_general_knowledge,en,last_token,20,0.10692267241792058,0.8930773275820794,2
Qwen2.5-1.5B,agreement_bias,education_general_knowledge,en,last_token,21,0.17042824974735366,0.8295717502526463,2
Qwen2.5-1.5B,agreement_bias,education_general_knowledge,en,last_token,22,0.1761978601861307,0.8238021398138693,2
Qwen2.5-1.5B,agreement_bias,education_general_knowledge,en,last_token,23,0.18268358602262796,0.8173164139773721,2
Qwen2.5-1.5B,agreement_bias,education_general_knowledge,en,last_token,24,0.15016781780889188,0.8498321821911081,2
Qwen2.5-1.5B,agreement_bias,education_general_knowledge,en,last_token,25,0.15245159857158175,0.8475484014284183,2
Qwen2.5-1.5B,agreement_bias,education_general_knowledge,en,last_token,26,0.11478139084769506,0.8852186091523049,2
Qwen2.5-1.5B,agreement_bias,education_general_knowledge,en,last_token,27,0.08369310533319418,0.9163068946668058,2
Qwen2.5-1.5B,agreement_bias,education_general_knowledge,en,last_token,28,0.12427417003684854,0.8757258299631514,2
Qwen2.5-1.5B,agreement_bias,education_general_knowledge,en,mean_pooled,0,0.22325302276494918,0.7767469772350508,2
Qwen2.5-1.5B,agreement_bias,education_general_knowledge,en,mean_pooled,1,0.18487677281353687,0.8151232271864631,2
Qwen2.5-1.5B,agreement_bias,education_general_knowledge,en,mean_pooled,2,0.11200810303724873,0.8879918969627513,2
Qwen2.5-1.5B,agreement_bias,education_general_knowledge,en,mean_pooled,3,0.12943843553719336,0.8705615644628066,2
Qwen2.5-1.5B,agreement_bias,education_general_knowledge,en,mean_pooled,4,0.1343056378643227,0.8656943621356773,2
Qwen2.5-1.5B,agreement_bias,education_general_knowledge,en,mean_pooled,5,0.1407057989708132,0.8592942010291869,2
Qwen2.5-1.5B,agreement_bias,education_general_knowledge,en,mean_pooled,6,0.11499873815803535,0.8850012618419647,2
Qwen2.5-1.5B,agreement_bias,education_general_knowledge,en,mean_pooled,7,0.10276296230918591,0.8972370376908141,2
Qwen2.5-1.5B,agreement_bias,education_general_knowledge,en,mean_pooled,8,0.10510283316418528,0.8948971668358148,2
Qwen2.5-1.5B,agreement_bias,education_general_knowledge,en,mean_pooled,9,0.11868556499865712,0.8813144350013429,2
Qwen2.5-1.5B,agreement_bias,education_general_knowledge,en,mean_pooled,10,0.11874984946743117,0.8812501505325688,2
Qwen2.5-1.5B,agreement_bias,education_general_knowledge,en,mean_pooled,11,0.11597312586782232,0.8840268741321777,2
Qwen2.5-1.5B,agreement_bias,education_general_knowledge,en,mean_pooled,12,0.10632431767257233,0.8936756823274277,2
Qwen2.5-1.5B,agreement_bias,education_general_knowledge,en,mean_pooled,13,0.11006929917456693,0.8899307008254331,2
Qwen2.5-1.5B,agreement_bias,education_general_knowledge,en,mean_pooled,14,0.10840855256947435,0.8915914474305257,2
Qwen2.5-1.5B,agreement_bias,education_general_knowledge,en,mean_pooled,15,0.1101753358732232,0.8898246641267769,2
Qwen2.5-1.5B,agreement_bias,education_general_knowledge,en,mean_pooled,16,0.10677651157857893,0.8932234884214211,2
Qwen2.5-1.5B,agreement_bias,education_general_knowledge,en,mean_pooled,17,0.11560942562741178,0.8843905743725882,2
Qwen2.5-1.5B,agreement_bias,education_general_knowledge,en,mean_pooled,18,0.12939708100507313,0.8706029189949269,2
Qwen2.5-1.5B,agreement_bias,education_general_knowledge,en,mean_pooled,19,0.1276875909822558,0.8723124090177442,2
Qwen2.5-1.5B,agreement_bias,education_general_knowledge,en,mean_pooled,20,0.13216382874770488,0.8678361712522951,2
Qwen2.5-1.5B,agreement_bias,education_general_knowledge,en,mean_pooled,21,0.14329006102644226,0.8567099389735577,2
Qwen2.5-1.5B,agreement_bias,education_general_knowledge,en,mean_pooled,22,0.11834322141065395,0.8816567785893461,2
Qwen2.5-1.5B,agreement_bias,education_general_knowledge,en,mean_pooled,23,0.11437530912560184,0.8856246908743981,2
Qwen2.5-1.5B,agreement_bias,education_general_knowledge,en,mean_pooled,24,0.09433884206540855,0.9056611579345915,2
Qwen2.5-1.5B,agreement_bias,education_general_knowledge,en,mean_pooled,25,0.07541565847082438,0.9245843415291757,2
Qwen2.5-1.5B,agreement_bias,education_general_knowledge,en,mean_pooled,26,0.06625976000348466,0.9337402399965153,2
Qwen2.5-1.5B,agreement_bias,education_general_knowledge,en,mean_pooled,27,0.0434782673960013,0.9565217326039988,2
Qwen2.5-1.5B,agreement_bias,education_general_knowledge,en,mean_pooled,28,0.13189490957201333,0.8681050904279867,2
