model,behaviour,pooling,layer,mean_cosine_distance,rank
Gemma-2-2B,authority_influence,last_token,20,0.03963540471466535,1
Gemma-2-2B,authority_influence,last_token,21,0.038345013356375586,2
Gemma-2-2B,authority_influence,last_token,23,0.037386154916445834,3
Gemma-2-2B,authority_influence,last_token,22,0.035200685087044846,4
Gemma-2-2B,authority_influence,last_token,19,0.03467713852406951,5
Gemma-2-2B,authority_influence,last_token,24,0.033765383769903345,6
Gemma-2-2B,authority_influence,last_token,18,0.03325474997205497,7
Gemma-2-2B,authority_influence,last_token,25,0.027855326163255433,8
Gemma-2-2B,authority_influence,last_token,17,0.027235201600214864,9
Gemma-2-2B,authority_influence,last_token,15,0.025558428748189876,10
Gemma-2-2B,authority_influence,last_token,14,0.023665696779421114,11
Gemma-2-2B,authority_influence,last_token,12,0.021363561591624308,12
Gemma-2-2B,authority_influence,last_token,10,0.02056481268193669,13
Gemma-2-2B,authority_influence,last_token,13,0.02024605222908299,14
Gemma-2-2B,authority_influence,last_token,16,0.019009597841330255,15
Gemma-2-2B,authority_influence,last_token,9,0.016811148167037177,16
Gemma-2-2B,authority_influence,last_token,11,0.016626405242400433,17
Gemma-2-2B,authority_influence,last_token,26,0.012684780250424457,18
Gemma-2-2B,authority_influence,last_token,8,0.011524256236355732,19
Gemma-2-2B,authority_influence,last_token,6,0.006412352424237923,20
Gemma-2-2B,authority_influence,last_token,7,0.0035306251272042475,21
Gemma-2-2B,authority_influence,last_token,4,0.0014668602106438222,22
Gemma-2-2B,authority_influence,last_token,3,0.0011804195627849456,23
Gemma-2-2B,authority_influence,last_token,5,0.0010839506249644322,24
Gemma-2-2B,authority_influence,last_token,2,0.0008477460107123765,25
Gemma-2-2B,authority_influence,last_token,1,0.00025170740053793533,26
Gemma-2-2B,authority_influence,last_token,0,1.1102230246251565e-16,27
Gemma-2-2B,authority_influence,mean_pooled,26,0.1592597153069902,1
Gemma-2-2B,authority_influence,mean_pooled,0,0.14142681417448222,2
Gemma-2-2B,authority_influence,mean_pooled,25,0.10614658596714262,3
Gemma-2-2B,authority_influence,mean_pooled,1,0.0814421213018388,4
Gemma-2-2B,authority_influence,mean_pooled,24,0.06941267219424081,5
Gemma-2-2B,authority_influence,mean_pooled,21,0.06532211099910068,6
Gemma-2-2B,authority_influence,mean_pooled,20,0.0627312433886621,7
Gemma-2-2B,authority_influence,mean_pooled,23,0.062213133418412274,8
Gemma-2-2B,authority_influence,mean_pooled,22,0.06007243459819953,9
Gemma-2-2B,authority_influence,mean_pooled,3,0.05532917600349153,10
Gemma-2-2B,authority_influence,mean_pooled,6,0.055184226424513004,11
Gemma-2-2B,authority_influence,mean_pooled,5,0.053957574768791684,12
Gemma-2-2B,authority_influence,mean_pooled,9,0.05283098662094585,13
Gemma-2-2B,authority_influence,mean_pooled,18,0.05130207645130485,14
Gemma-2-2B,authority_influence,mean_pooled,19,0.05011312208965441,15
Gemma-2-2B,authority_influence,mean_pooled,7,0.0495424644709804,16
Gemma-2-2B,authority_influence,mean_pooled,8,0.04719247373680818,17
Gemma-2-2B,authority_influence,mean_pooled,16,0.046476757309874724,18
Gemma-2-2B,authority_influence,mean_pooled,17,0.046371739208333956,19
Gemma-2-2B,authority_influence,mean_pooled,4,0.04596706162560574,20
Gemma-2-2B,authority_influence,mean_pooled,11,0.045719913648708144,21
Gemma-2-2B,authority_influence,mean_pooled,10,0.045671665776220643,22
Gemma-2-2B,authority_influence,mean_pooled,15,0.042939099997224596,23
Gemma-2-2B,authority_influence,mean_pooled,14,0.042831990733487535,24
Gemma-2-2B,authority_influence,mean_pooled,12,0.0417932256302062,25
Gemma-2-2B,authority_influence,mean_pooled,13,0.03963449242459386,26
Gemma-2-2B,authority_influence,mean_pooled,2,0.0338936536726313,27
Gemma-2-2B,delusion_acceptance,last_token,21,0.2439996914477383,1
Gemma-2-2B,delusion_acceptance,last_token,24,0.24046328531426847,2
Gemma-2-2B,delusion_acceptance,last_token,23,0.2330821820901942,3
Gemma-2-2B,delusion_acceptance,last_token,19,0.2255756700648705,4
Gemma-2-2B,delusion_acceptance,last_token,20,0.22531460823426896,5
Gemma-2-2B,delusion_acceptance,last_token,22,0.22377179535730324,6
Gemma-2-2B,delusion_acceptance,last_token,18,0.19574367109278162,7
Gemma-2-2B,delusion_acceptance,last_token,25,0.19303686665211245,8
Gemma-2-2B,delusion_acceptance,last_token,17,0.1727466930454009,9
Gemma-2-2B,delusion_acceptance,last_token,16,0.12328460854258355,10
Gemma-2-2B,delusion_acceptance,last_token,15,0.11863261644845008,11
Gemma-2-2B,delusion_acceptance,last_token,14,0.10466260263207539,12
Gemma-2-2B,delusion_acceptance,last_token,26,0.09710725966961187,13
Gemma-2-2B,delusion_acceptance,last_token,13,0.06507267520261156,14
Gemma-2-2B,delusion_acceptance,last_token,12,0.06449490569786093,15
Gemma-2-2B,delusion_acceptance,last_token,11,0.03602766527973256,16
Gemma-2-2B,delusion_acceptance,last_token,10,0.032555396633424605,17
Gemma-2-2B,delusion_acceptance,last_token,9,0.03106306595852748,18
Gemma-2-2B,delusion_acceptance,last_token,6,0.026144029376346356,19
Gemma-2-2B,delusion_acceptance,last_token,8,0.025002888221286046,20
Gemma-2-2B,delusion_acceptance,last_token,7,0.02108597722783978,21
Gemma-2-2B,delusion_acceptance,last_token,4,0.016525142774774237,22
Gemma-2-2B,delusion_acceptance,last_token,5,0.014552072025894758,23
Gemma-2-2B,delusion_acceptance,last_token,3,0.011282826472239493,24
Gemma-2-2B,delusion_acceptance,last_token,2,0.008892658073492155,25
Gemma-2-2B,delusion_acceptance,last_token,1,0.008624891274920832,26
Gemma-2-2B,delusion_acceptance,last_token,0,1.1102230246251565e-16,27
Gemma-2-2B,delusion_acceptance,mean_pooled,26,0.1628425975468044,1
Gemma-2-2B,delusion_acceptance,mean_pooled,19,0.12451479054907666,2
Gemma-2-2B,delusion_acceptance,mean_pooled,23,0.11556062258700411,3
Gemma-2-2B,delusion_acceptance,mean_pooled,20,0.11382266092600374,4
Gemma-2-2B,delusion_acceptance,mean_pooled,21,0.11377533696995568,5
Gemma-2-2B,delusion_acceptance,mean_pooled,22,0.11237908183052892,6
Gemma-2-2B,delusion_acceptance,mean_pooled,18,0.11234587438477245,7
Gemma-2-2B,delusion_acceptance,mean_pooled,24,0.110511170382734,8
Gemma-2-2B,delusion_acceptance,mean_pooled,17,0.10855893965910379,9
Gemma-2-2B,delusion_acceptance,mean_pooled,25,0.08774280853026106,10
Gemma-2-2B,delusion_acceptance,mean_pooled,15,0.08250142595235865,11
Gemma-2-2B,delusion_acceptance,mean_pooled,16,0.081230409647577,12
Gemma-2-2B,delusion_acceptance,mean_pooled,14,0.07863352535664125,13
Gemma-2-2B,delusion_acceptance,mean_pooled,12,0.0655084516043673,14
Gemma-2-2B,delusion_acceptance,mean_pooled,13,0.06535925971258688,15
Gemma-2-2B,delusion_acceptance,mean_pooled,10,0.06050293013526559,16
Gemma-2-2B,delusion_acceptance,mean_pooled,11,0.05955058292014842,17
Gemma-2-2B,delusion_acceptance,mean_pooled,6,0.0586017471149935,18
Gemma-2-2B,delusion_acceptance,mean_pooled,9,0.056714423320801566,19
Gemma-2-2B,delusion_acceptance,mean_pooled,8,0.054900007441260223,20
Gemma-2-2B,delusion_acceptance,mean_pooled,5,0.05071384611377844,21
Gemma-2-2B,delusion_acceptance,mean_pooled,7,0.04931513822641731,22
Gemma-2-2B,delusion_acceptance,mean_pooled,3,0.04027325284453276,23
Gemma-2-2B,delusion_acceptance,mean_pooled,1,0.03987488855904092,24
Gemma-2-2B,delusion_acceptance,mean_pooled,0,0.038195104523669976,25
Gemma-2-2B,delusion_acceptance,mean_pooled,4,0.036409888983479244,26
Gemma-2-2B,delusion_acceptance,mean_pooled,2,0.024475529686600606,27
Gemma-2-2B,mirroring,last_token,21,0.27617061439453855,1
Gemma-2-2B,mirroring,last_token,20,0.26307119613896024,2
Gemma-2-2B,mirroring,last_token,24,0.26118202573510246,3
Gemma-2-2B,mirroring,last_token,23,0.2565190076402706,4
Gemma-2-2B,mirroring,last_token,22,0.25137280007504714,5
Gemma-2-2B,mirroring,last_token,19,0.24089912844107686,6
Gemma-2-2B,mirroring,last_token,18,0.22427083125179612,7
Gemma-2-2B,mirroring,last_token,17,0.2013356556706773,8
Gemma-2-2B,mirroring,last_token,25,0.19710138168562502,9
Gemma-2-2B,mirroring,last_token,15,0.15937010212842273,10
Gemma-2-2B,mirroring,last_token,16,0.15339505985879442,11
Gemma-2-2B,mirroring,last_token,14,0.13527949043443133,12
Gemma-2-2B,mirroring,last_token,26,0.08902335340431305,13
Gemma-2-2B,mirroring,last_token,13,0.07883404566849062,14
Gemma-2-2B,mirroring,last_token,12,0.07204401983578412,15
Gemma-2-2B,mirroring,last_token,10,0.04107862052794817,16
Gemma-2-2B,mirroring,last_token,11,0.03847553305095702,17
Gemma-2-2B,mirroring,last_token,9,0.03504547143775827,18
Gemma-2-2B,mirroring,last_token,8,0.0191652641542831,19
Gemma-2-2B,mirroring,last_token,6,0.014624088681209457,20
Gemma-2-2B,mirroring,last_token,7,0.009775973149832251,21
Gemma-2-2B,mirroring,last_token,4,0.00578764573640006,22
Gemma-2-2B,mirroring,last_token,5,0.00559109820079931,23
Gemma-2-2B,mirroring,last_token,3,0.005144158684416866,24
Gemma-2-2B,mirroring,last_token,2,0.0039530959954611755,25
Gemma-2-2B,mirroring,last_token,1,0.0033485708218450594,26
Gemma-2-2B,mirroring,last_token,0,1.1102230246251565e-16,27
Gemma-2-2B,mirroring,mean_pooled,26,0.4867268040532639,1
Gemma-2-2B,mirroring,mean_pooled,25,0.3325354728159958,2
Gemma-2-2B,mirroring,mean_pooled,21,0.23778324123796077,3
Gemma-2-2B,mirroring,mean_pooled,24,0.23470675672021302,4
Gemma-2-2B,mirroring,mean_pooled,0,0.23278958804280225,5
Gemma-2-2B,mirroring,mean_pooled,20,0.23241155894813215,6
Gemma-2-2B,mirroring,mean_pooled,22,0.22072881766219243,7
Gemma-2-2B,mirroring,mean_pooled,23,0.2199639456205331,8
Gemma-2-2B,mirroring,mean_pooled,19,0.2064065958232616,9
Gemma-2-2B,mirroring,mean_pooled,18,0.1984025357979662,10
Gemma-2-2B,mirroring,mean_pooled,17,0.19752638169790643,11
Gemma-2-2B,mirroring,mean_pooled,16,0.19017536889508396,12
Gemma-2-2B,mirroring,mean_pooled,9,0.18883340415781275,13
Gemma-2-2B,mirroring,mean_pooled,10,0.18054832677998897,14
Gemma-2-2B,mirroring,mean_pooled,1,0.17557487223297133,15
Gemma-2-2B,mirroring,mean_pooled,8,0.17454984656213127,16
Gemma-2-2B,mirroring,mean_pooled,6,0.17440728334243957,17
Gemma-2-2B,mirroring,mean_pooled,11,0.17218896487632263,18
Gemma-2-2B,mirroring,mean_pooled,14,0.16967633644575764,19
Gemma-2-2B,mirroring,mean_pooled,12,0.16605434876339167,20
Gemma-2-2B,mirroring,mean_pooled,7,0.16485544901985014,21
Gemma-2-2B,mirroring,mean_pooled,15,0.16428539785336888,22
Gemma-2-2B,mirroring,mean_pooled,5,0.16115706205648503,23
Gemma-2-2B,mirroring,mean_pooled,3,0.1565889191960492,24
Gemma-2-2B,mirroring,mean_pooled,13,0.15361342959322885,25
Gemma-2-2B,mirroring,mean_pooled,4,0.1379546861772829,26
Gemma-2-2B,mirroring,mean_pooled,2,0.0930516933483975,27
