model,pooling,layer,scope,n_samples,cka
Gemma-2-2B,last_token,0,__all__,22,
Gemma-2-2B,last_token,0,authority_influence,12,
Gemma-2-2B,last_token,0,mirroring,8,
Gemma-2-2B,last_token,1,__all__,22,0.44378411005335755
Gemma-2-2B,last_token,1,authority_influence,12,0.9932310737617107
Gemma-2-2B,last_token,1,mirroring,8,0.9067982546614636
Gemma-2-2B,last_token,2,__all__,22,0.7571362073977941
Gemma-2-2B,last_token,2,authority_influence,12,0.9928599265381368
Gemma-2-2B,last_token,2,mirroring,8,0.9863144096415862
Gemma-2-2B,last_token,3,__all__,22,0.860303475117679
Gemma-2-2B,last_token,3,authority_influence,12,0.9874370435565618
Gemma-2-2B,last_token,3,mirroring,8,0.9904248039823925
Gemma-2-2B,last_token,4,__all__,22,0.8383557481308709
Gemma-2-2B,last_token,4,authority_influence,12,0.9894979410424817
Gemma-2-2B,last_token,4,mirroring,8,0.9944163579368789
Gemma-2-2B,last_token,5,__all__,22,0.8022660937601881
Gemma-2-2B,last_token,5,authority_influence,12,0.9852909046303558
Gemma-2-2B,last_token,5,mirroring,8,0.9825805713520411
Gemma-2-2B,last_token,6,__all__,22,0.8479516807572377
Gemma-2-2B,last_token,6,authority_influence,12,0.9924525965714295
Gemma-2-2B,last_token,6,mirroring,8,0.9663813670004636
Gemma-2-2B,last_token,7,__all__,22,0.7887622630851421
Gemma-2-2B,last_token,7,authority_influence,12,0.992386936382262
Gemma-2-2B,last_token,7,mirroring,8,0.9571186498053751
Gemma-2-2B,last_token,8,__all__,22,0.8907499632431646
Gemma-2-2B,last_token,8,authority_influence,12,0.9824634726739344
Gemma-2-2B,last_token,8,mirroring,8,0.9410633446868394
Gemma-2-2B,last_token,9,__all__,22,0.919035277269918
Gemma-2-2B,last_token,9,authority_influence,12,0.9818326167575456
Gemma-2-2B,last_token,9,mirroring,8,0.9455066655351371
Gemma-2-2B,last_token,10,__all__,22,0.9414903229380652
Gemma-2-2B,last_token,10,authority_influence,12,0.978160957676306
Gemma-2-2B,last_token,10,mirroring,8,0.9689101428706097
Gemma-2-2B,last_token,11,__all__,22,0.9185480768369082
Gemma-2-2B,last_token,11,authority_influence,12,0.9812216193595183
Gemma-2-2B,last_token,11,mirroring,8,0.9593031824690322
Gemma-2-2B,last_token,12,__all__,22,0.9346790332345226
Gemma-2-2B,last_token,12,authority_influence,12,0.9898112716567586
Gemma-2-2B,last_token,12,mirroring,8,0.9677250448859245
Gemma-2-2B,last_token,13,__all__,22,0.9205350143144329
Gemma-2-2B,last_token,13,authority_influence,12,0.978994947374859
Gemma-2-2B,last_token,13,mirroring,8,0.9747258243799045
Gemma-2-2B,last_token,14,__all__,22,0.8975277928693872
Gemma-2-2B,last_token,14,authority_influence,12,0.9777759101238156
Gemma-2-2B,last_token,14,mirroring,8,0.984720898071522
Gemma-2-2B,last_token,15,__all__,22,0.9000778258344334
Gemma-2-2B,last_token,15,authority_influence,12,0.9810374449739462
Gemma-2-2B,last_token,15,mirroring,8,0.9833899501275684
