model,pooling,layer,behaviour_a,behaviour_b,cosine,n_pairs_a,n_pairs_b,low_n
Gemma-2-2B,last_token,0,authority_influence,delusion_acceptance,,12,2,True
Gemma-2-2B,last_token,0,authority_influence,mirroring,,12,8,False
Gemma-2-2B,last_token,0,delusion_acceptance,mirroring,,2,8,True
Gemma-2-2B,last_token,1,authority_influence,delusion_acceptance,0.6680430804075538,12,2,True
Gemma-2-2B,last_token,1,authority_influence,mirroring,0.7269558108244624,12,8,False
Gemma-2-2B,last_token,1,delusion_acceptance,mirroring,0.9648110858853468,2,8,True
Gemma-2-2B,last_token,2,authority_influence,delusion_acceptance,0.23944213926382696,12,2,True
Gemma-2-2B,last_token,2,authority_influence,mirroring,0.3637163038086015,12,8,False
Gemma-2-2B,last_token,2,delusion_acceptance,mirroring,0.8035294744128807,2,8,True
Gemma-2-2B,last_token,3,authority_influence,delusion_acceptance,0.15167750732134966,12,2,True
Gemma-2-2B,last_token,3,authority_influence,mirroring,0.30230636624170465,12,8,False
Gemma-2-2B,last_token,3,delusion_acceptance,mirroring,0.7423402808026067,2,8,True
Gemma-2-2B,last_token,4,authority_influence,delusion_acceptance,0.02396283858109379,12,2,True
Gemma-2-2B,last_token,4,authority_influence,mirroring,0.09381695869588712,12,8,False
Gemma-2-2B,last_token,4,delusion_acceptance,mirroring,0.7287851054720047,2,8,True
Gemma-2-2B,last_token,5,authority_influence,delusion_acceptance,0.00963385978244452,12,2,True
Gemma-2-2B,last_token,5,authority_influence,mirroring,0.07787909521671,12,8,False
Gemma-2-2B,last_token,5,delusion_acceptance,mirroring,0.715492555699216,2,8,True
Gemma-2-2B,last_token,6,authority_influence,delusion_acceptance,0.09783564773178119,12,2,True
Gemma-2-2B,last_token,6,authority_influence,mirroring,0.15178284746626305,12,8,False
Gemma-2-2B,last_token,6,delusion_acceptance,mirroring,0.67347562997103,2,8,True
Gemma-2-2B,last_token,7,authority_influence,delusion_acceptance,0.13026530072198664,12,2,True
Gemma-2-2B,last_token,7,authority_influence,mirroring,0.16351145012145243,12,8,False
Gemma-2-2B,last_token,7,delusion_acceptance,mirroring,0.6786860422305497,2,8,True
Gemma-2-2B,last_token,8,authority_influence,delusion_acceptance,-0.07894020247369139,12,2,True
Gemma-2-2B,last_token,8,authority_influence,mirroring,-0.04472554560479605,12,8,False
Gemma-2-2B,last_token,8,delusion_acceptance,mirroring,0.5522845787265995,2,8,True
Gemma-2-2B,last_token,9,authority_influence,delusion_acceptance,-0.10814535100342522,12,2,True
Gemma-2-2B,last_token,9,authority_influence,mirroring,0.04233933321962746,12,8,False
Gemma-2-2B,last_token,9,delusion_acceptance,mirroring,0.5756462789335253,2,8,True
Gemma-2-2B,last_token,10,authority_influence,delusion_acceptance,0.012554044727015571,12,2,True
Gemma-2-2B,last_token,10,authority_influence,mirroring,0.07372271053507101,12,8,False
Gemma-2-2B,last_token,10,delusion_acceptance,mirroring,0.38970677982555196,2,8,True
Gemma-2-2B,last_token,11,authority_influence,delusion_acceptance,0.02181426304966172,12,2,True
Gemma-2-2B,last_token,11,authority_influence,mirroring,0.04932322950072431,12,8,False
Gemma-2-2B,last_token,11,delusion_acceptance,mirroring,0.39520405501612005,2,8,True
Gemma-2-2B,last_token,12,authority_influence,delusion_acceptance,-0.0026325771569967907,12,2,True
Gemma-2-2B,last_token,12,authority_influence,mirroring,0.06376856949935036,12,8,False
Gemma-2-2B,last_token,12,delusion_acceptance,mirroring,0.4030299460494423,2,8,True
Gemma-2-2B,last_token,13,authority_influence,delusion_acceptance,0.012793262416159443,12,2,True
Gemma-2-2B,last_token,13,authority_influence,mirroring,-0.06322351944266132,12,8,False
Gemma-2-2B,last_token,13,delusion_acceptance,mirroring,0.3875273299384114,2,8,True
Gemma-2-2B,last_token,14,authority_influence,delusion_acceptance,0.0022406595609753025,12,2,True
Gemma-2-2B,last_token,14,authority_influence,mirroring,-0.051779058793482026,12,8,False
Gemma-2-2B,last_token,14,delusion_acceptance,mirroring,0.3780314100078998,2,8,True
Gemma-2-2B,last_token,15,authority_influence,delusion_acceptance,0.011944906902581957,12,2,True
