model,behaviour,pooling,layer,n_pairs,direction_norm
Qwen2.5-1.5B,__all__,last_token,0,19,0.0
Qwen2.5-1.5B,__all__,last_token,1,19,0.7717295723826747
Qwen2.5-1.5B,__all__,last_token,2,19,1.268642287756982
Qwen2.5-1.5B,__all__,last_token,3,19,1.6774678667224536
Qwen2.5-1.5B,__all__,last_token,4,19,2.9447846766379073
Qwen2.5-1.5B,__all__,last_token,5,19,3.3338792175346827
Qwen2.5-1.5B,__all__,last_token,6,19,3.8961408732755025
Qwen2.5-1.5B,__all__,last_token,7,19,3.746360192578523
Qwen2.5-1.5B,__all__,last_token,8,19,3.9808319274880732
Qwen2.5-1.5B,__all__,last_token,9,19,4.415648108735789
Qwen2.5-1.5B,__all__,last_token,10,19,5.013546225461466
Qwen2.5-1.5B,__all__,last_token,11,19,5.012812993151055
Qwen2.5-1.5B,__all__,last_token,12,19,5.016098492585835
Qwen2.5-1.5B,__all__,last_token,13,19,5.317002932975997
Qwen2.5-1.5B,__all__,last_token,14,19,6.897013822188005
Qwen2.5-1.5B,__all__,last_token,15,19,7.2404907624948915
Qwen2.5-1.5B,__all__,last_token,16,19,7.972042201755423
Qwen2.5-1.5B,__all__,last_token,17,19,9.000089023698436
Qwen2.5-1.5B,__all__,last_token,18,19,10.4206355449577
Qwen2.5-1.5B,__all__,last_token,19,19,11.71615014223127
Qwen2.5-1.5B,__all__,last_token,20,19,13.19047557663962
Qwen2.5-1.5B,__all__,last_token,21,19,18.675095677138632
Qwen2.5-1.5B,__all__,last_token,22,19,23.420821404366393
Qwen2.5-1.5B,__all__,last_token,23,19,27.579239335398068
Qwen2.5-1.5B,__all__,last_token,24,19,30.93533648116706
Qwen2.5-1.5B,__all__,last_token,25,19,34.265571878617585
Qwen2.5-1.5B,__all__,last_token,26,19,37.71340366244747
Qwen2.5-1.5B,__all__,last_token,27,19,41.363219710184666
Qwen2.5-1.5B,__all__,last_token,28,19,32.99415672761746
Qwen2.5-1.5B,__all__,mean_pooled,0,19,0.05540532916440721
Qwen2.5-1.5B,__all__,mean_pooled,1,19,1.441881665848216
Qwen2.5-1.5B,__all__,mean_pooled,2,19,1.859451990739485
Qwen2.5-1.5B,__all__,mean_pooled,3,19,2.551922973111511
Qwen2.5-1.5B,__all__,mean_pooled,4,19,3.1655928908713546
Qwen2.5-1.5B,__all__,mean_pooled,5,19,3.6269582560592966
Qwen2.5-1.5B,__all__,mean_pooled,6,19,3.7165474651669657
Qwen2.5-1.5B,__all__,mean_pooled,7,19,4.014717085867062
Qwen2.5-1.5B,__all__,mean_pooled,8,19,4.411291456225611
Qwen2.5-1.5B,__all__,mean_pooled,9,19,4.821609484316345
Qwen2.5-1.5B,__all__,mean_pooled,10,19,5.787313118056061
Qwen2.5-1.5B,__all__,mean_pooled,11,19,5.841810575391311
Qwen2.5-1.5B,__all__,mean_pooled,12,19,6.279986000907059
Qwen2.5-1.5B,__all__,mean_pooled,13,19,6.224300260049652
Qwen2.5-1.5B,__all__,mean_pooled,14,19,6.878767165959092
Qwen2.5-1.5B,__all__,mean_pooled,15,19,6.838169581550071
Qwen2.5-1.5B,__all__,mean_pooled,16,19,7.523369974557603
Qwen2.5-1.5B,__all__,mean_pooled,17,19,7.8374617655552115
Qwen2.5-1.5B,__all__,mean_pooled,18,19,8.600311173947826
Qwen2.5-1.5B,__all__,mean_pooled,19,19,9.452825924281912
Qwen2.5-1.5B,__all__,mean_pooled,20,19,10.869094824279518
Qwen2.5-1.5B,__all__,mean_pooled,21,19,12.000879370330718
Qwen2.5-1.5B,__all__,mean_pooled,22,19,13.993859137532773
Qwen2.5-1.5B,__all__,mean_pooled,23,19,16.13737811437004
Qwen2.5-1.5B,__all__,mean_pooled,24,19,18.55904029436042
Qwen2.5-1.5B,__all__,mean_pooled,25,19,20.77300159643797
Qwen2.5-1.5B,__all__,mean_pooled,26,19,22.48194842476687
Qwen2.5-1.5B,__all__,mean_pooled,27,19,23.936219511415313
Qwen2.5-1.5B,__all__,mean_pooled,28,19,24.745441746708966
Qwen2.5-1.5B,agreement_bias,last_token,0,2,0.0
Qwen2.5-1.5B,agreement_bias,last_token,1,2,1.5413653411526456
Qwen2.5-1.5B,agreement_bias,last_token,2,2,2.6354938471289158
Qwen2.5-1.5B,agreement_bias,last_token,3,2,3.2964337500459577
Qwen2.5-1.5B,agreement_bias,last_token,4,2,5.698635203215231
Qwen2.5-1.5B,agreement_bias,last_token,5,2,6.508283426272095
Qwen2.5-1.5B,agreement_bias,last_token,6,2,7.1997608594138764
Qwen2.5-1.5B,agreement_bias,last_token,7,2,6.88504522754201
Qwen2.5-1.5B,agreement_bias,last_token,8,2,8.530849565553712
Qwen2.5-1.5B,agreement_bias,last_token,9,2,10.087940269924905
Qwen2.5-1.5B,agreement_bias,last_token,10,2,12.150047643068028
Qwen2.5-1.5B,agreement_bias,last_token,11,2,12.999663484643772
Qwen2.5-1.5B,agreement_bias,last_token,12,2,13.02908178575367
Qwen2.5-1.5B,agreement_bias,last_token,13,2,13.515294452283902
Qwen2.5-1.5B,agreement_bias,last_token,14,2,19.356860098709035
Qwen2.5-1.5B,agreement_bias,last_token,15,2,20.861009643405307
Qwen2.5-1.5B,agreement_bias,last_token,16,2,20.789853320815602
Qwen2.5-1.5B,agreement_bias,last_token,17,2,23.585603911515925
Qwen2.5-1.5B,agreement_bias,last_token,18,2,25.93151280972266
Qwen2.5-1.5B,agreement_bias,last_token,19,2,26.32699909788094
Qwen2.5-1.5B,agreement_bias,last_token,20,2,28.286413842137854
Qwen2.5-1.5B,agreement_bias,last_token,21,2,39.22120234754363
Qwen2.5-1.5B,agreement_bias,last_token,22,2,50.006633832803715
Qwen2.5-1.5B,agreement_bias,last_token,23,2,57.88285791295967
Qwen2.5-1.5B,agreement_bias,last_token,24,2,62.74616292840992
Qwen2.5-1.5B,agreement_bias,last_token,25,2,72.55569857658078
Qwen2.5-1.5B,agreement_bias,last_token,26,2,76.8633890174752
Qwen2.5-1.5B,agreement_bias,last_token,27,2,85.71765401010114
