model,pooling,layer,n_points,spearman_rho,spearman_p,r_squared
Qwen2.5-1.5B,last_token,0,19,,,
Qwen2.5-1.5B,last_token,1,19,0.2221246707638279,0.3607276970850563,0.03892273434810776
Qwen2.5-1.5B,last_token,2,19,0.392277352375378,0.09667809036273145,0.16068017908401985
Qwen2.5-1.5B,last_token,3,19,0.5432207631327941,0.01623265190076049,0.21510288871194877
Qwen2.5-1.5B,last_token,4,19,0.36698858647936783,0.12220758162055849,0.14758928457176287
Qwen2.5-1.5B,last_token,5,19,0.4223002633889376,0.0716805963775279,0.20069770697995068
Qwen2.5-1.5B,last_token,6,19,0.2948661977586734,0.22038273667552138,0.10527840894581092
Qwen2.5-1.5B,last_token,7,19,0.27819221633779606,0.24881445197819524,0.09888758766847873
Qwen2.5-1.5B,last_token,8,19,0.4609306409130816,0.047011068736055726,0.22190235581847145
Qwen2.5-1.5B,last_token,9,19,0.5195261579557579,0.02262431200863817,0.5303870425135402
Qwen2.5-1.5B,last_token,10,19,0.5546292767365523,0.013718816005185494,0.5952901687991505
Qwen2.5-1.5B,last_token,11,19,0.5414656071937544,0.016650010716628718,0.5758677345134132
Qwen2.5-1.5B,last_token,12,19,0.5294117647058824,0.019752476069199176,0.5068449144034324
Qwen2.5-1.5B,last_token,13,19,0.5432207631327941,0.01623265190076049,0.5465062299211503
Qwen2.5-1.5B,last_token,14,19,0.5484862309499132,0.015030389699132193,0.5987436011580738
Qwen2.5-1.5B,last_token,15,19,0.5127304653204565,0.024782429447434282,0.6061795906748241
Qwen2.5-1.5B,last_token,16,19,0.5906099734868666,0.007756413500344202,0.635669220628732
Qwen2.5-1.5B,last_token,17,19,0.5197541703248463,0.022554561742125962,0.6434998883585453
Qwen2.5-1.5B,last_token,18,19,0.5546292767365523,0.013718816005185494,0.6305714411810893
Qwen2.5-1.5B,last_token,19,19,0.5300570935899963,0.019575564008093453,0.6144180865265627
Qwen2.5-1.5B,last_token,20,19,0.5274243596814366,0.020305277074358887,0.5965569180617779
Qwen2.5-1.5B,last_token,21,19,0.5601404741000877,0.012621701131937332,0.6488823775307331
Qwen2.5-1.5B,last_token,22,19,0.5967530192735057,0.006991218120459179,0.6750934046764325
Qwen2.5-1.5B,last_token,23,19,0.6093064091308165,0.0056180578436148985,0.6863848975940099
Qwen2.5-1.5B,last_token,24,19,0.594120285364946,0.007311256540387731,0.6817278618164686
Qwen2.5-1.5B,last_token,25,19,0.5976305972430255,0.006887110026204308,0.684843839727333
Qwen2.5-1.5B,last_token,26,19,0.5882352941176471,0.008069856341702398,0.6835437975839231
Qwen2.5-1.5B,last_token,27,19,0.5873573309920983,0.008188313038574866,0.6661948362048463
Qwen2.5-1.5B,last_token,28,19,0.574813570035509,0.010040470377154569,0.5723957347924507
Qwen2.5-1.5B,mean_pooled,0,19,0.05706760316066725,0.8164969531646299,0.0027477863320485014
Qwen2.5-1.5B,mean_pooled,1,19,0.5677929462793502,0.011216285086391662,0.3188871659996475
Qwen2.5-1.5B,mean_pooled,2,19,0.48024582967515356,0.0374244333779177,0.26934876561764026
Qwen2.5-1.5B,mean_pooled,3,19,0.32996931653946787,0.16768971711365266,0.15352815535191522
Qwen2.5-1.5B,mean_pooled,4,19,0.39578766425345746,0.09346776227173106,0.19154240828968644
Qwen2.5-1.5B,mean_pooled,5,19,0.38805970149253727,0.10064031762180714,0.19561410038366542
Qwen2.5-1.5B,mean_pooled,6,19,0.3090430201931519,0.197945210854147,0.11962682962851037
Qwen2.5-1.5B,mean_pooled,7,19,0.3527863437469842,0.13847774643334237,0.1297439841472638
Qwen2.5-1.5B,mean_pooled,8,19,0.33260205044802743,0.16412086240195692,0.10665768611168105
Qwen2.5-1.5B,mean_pooled,9,19,0.31782265144863914,0.18483984414474341,0.12291738940262999
Qwen2.5-1.5B,mean_pooled,10,19,0.23606847380084267,0.3305600084400464,0.09107295914789776
Qwen2.5-1.5B,mean_pooled,11,19,0.30978502324051105,0.19681437952225334,0.11137925636847935
Qwen2.5-1.5B,mean_pooled,12,19,0.2606406569473988,0.2811480392739251,0.06112679943222315
Qwen2.5-1.5B,mean_pooled,13,19,0.2405618964003512,0.32116480409555304,0.06306578104701437
Qwen2.5-1.5B,mean_pooled,14,19,0.24572183146556117,0.310573775157135,0.06126742013992791
Qwen2.5-1.5B,mean_pooled,15,19,0.315188762071993,0.18870851930164464,0.09211733078921461
Qwen2.5-1.5B,mean_pooled,16,19,0.22027207034948515,0.3648501997633919,0.06496058077804631
Qwen2.5-1.5B,mean_pooled,17,19,0.25713034506931937,0.28791141530571057,0.08004933690911593
Qwen2.5-1.5B,mean_pooled,18,19,0.208955223880597,0.39060775650483287,0.06470236833331014
