model,pair_id,domain,language,pooling,layer,turn_index,step_cosine_similarity,step_cosine_distance,cumulative_drift,cosine_distance_from_neutral
Qwen2.5-1.5B,RPS-F001,education_general_knowledge,en,last_token,0,0,,,0.0,0.0
Qwen2.5-1.5B,RPS-F001,education_general_knowledge,en,last_token,0,1,1.0,0.0,0.0,0.0
Qwen2.5-1.5B,RPS-F001,education_general_knowledge,en,last_token,0,2,1.0,0.0,0.0,0.0
Qwen2.5-1.5B,RPS-F001,education_general_knowledge,en,last_token,1,0,,,0.0,0.0
Qwen2.5-1.5B,RPS-F001,education_general_knowledge,en,last_token,1,1,0.9958034728225434,0.004196527177456555,0.004196527177456555,0.0041965271774565
Qwen2.5-1.5B,RPS-F001,education_general_knowledge,en,last_token,1,2,0.9975544070445027,0.002445592955497289,0.006642120132953844,0.0081434874059587
Qwen2.5-1.5B,RPS-F001,education_general_knowledge,en,last_token,2,0,,,0.0,0.0
Qwen2.5-1.5B,RPS-F001,education_general_knowledge,en,last_token,2,1,0.9879013297051904,0.0120986702948096,0.0120986702948096,0.0120986702948096
Qwen2.5-1.5B,RPS-F001,education_general_knowledge,en,last_token,2,2,0.9943379302314981,0.0056620697685019206,0.01776074006331152,0.0158872988949848
Qwen2.5-1.5B,RPS-F001,education_general_knowledge,en,last_token,3,0,,,0.0,0.0
Qwen2.5-1.5B,RPS-F001,education_general_knowledge,en,last_token,3,1,0.9802858804792056,0.019714119520794382,0.019714119520794382,0.0197141195207943
Qwen2.5-1.5B,RPS-F001,education_general_knowledge,en,last_token,3,2,0.9929647565449203,0.007035243455079665,0.026749362975874047,0.0268162760354295
Qwen2.5-1.5B,RPS-F001,education_general_knowledge,en,last_token,4,0,,,0.0,0.0
Qwen2.5-1.5B,RPS-F001,education_general_knowledge,en,last_token,4,1,0.9634470545978342,0.036552945402165804,0.036552945402165804,0.0365529454021658
Qwen2.5-1.5B,RPS-F001,education_general_knowledge,en,last_token,4,2,0.9878802199645499,0.012119780035450112,0.048672725437615916,0.0524964077680791
Qwen2.5-1.5B,RPS-F001,education_general_knowledge,en,last_token,5,0,,,0.0,0.0
Qwen2.5-1.5B,RPS-F001,education_general_knowledge,en,last_token,5,1,0.9573145049723173,0.04268549502768271,0.04268549502768271,0.0426854950276827
Qwen2.5-1.5B,RPS-F001,education_general_knowledge,en,last_token,5,2,0.984847611018382,0.01515238898161797,0.05783788400930068,0.0649982201591435
Qwen2.5-1.5B,RPS-F001,education_general_knowledge,en,last_token,6,0,,,0.0,-2.220446049250313e-16
Qwen2.5-1.5B,RPS-F001,education_general_knowledge,en,last_token,6,1,0.9683293689502578,0.031670631049742215,0.031670631049742215,0.0316706310497422
Qwen2.5-1.5B,RPS-F001,education_general_knowledge,en,last_token,6,2,0.986822216537814,0.01317778346218601,0.044848414511928225,0.0461144403788374
Qwen2.5-1.5B,RPS-F001,education_general_knowledge,en,last_token,7,0,,,0.0,0.0
Qwen2.5-1.5B,RPS-F001,education_general_knowledge,en,last_token,7,1,0.9725457570462682,0.027454242953731778,0.027454242953731778,0.0274542429537317
Qwen2.5-1.5B,RPS-F001,education_general_knowledge,en,last_token,7,2,0.990267633324892,0.009732366675108017,0.037186609628839795,0.035649189300344
Qwen2.5-1.5B,RPS-F001,education_general_knowledge,en,last_token,8,0,,,0.0,2.220446049250313e-16
Qwen2.5-1.5B,RPS-F001,education_general_knowledge,en,last_token,8,1,0.9663017003063632,0.0336982996936368,0.0336982996936368,0.0336982996936368
Qwen2.5-1.5B,RPS-F001,education_general_knowledge,en,last_token,8,2,0.9877191084960153,0.012280891503984703,0.045979191197621505,0.046537062643954
Qwen2.5-1.5B,RPS-F001,education_general_knowledge,en,last_token,9,0,,,0.0,-2.220446049250313e-16
